bid_notice_id,estimated_price,base_price,num_bidders,estimated_cost,Minimum Bid Amount Rate (MBAR),bid_rigging_label,Bid_Price_(1st_rank_Bidder),BAR_(1st_rank_Bidder),Firm_id_(1st_rank_Bidder),Bid_Price_(Competing_Bidder),BAR_(Competing_Bidder),Firm_id_(Competing_Bidder)
20060200570,16967625.0,17010000.0,3.0,15463636.0,87.745,1.0,15600000.0,3.9657583774250327,5138135697.0,15620000.0,4.083336272780713,5048137949.0
20060210642,7182000.0,7180000.0,3.0,6527272.0,90.0,1.0,6690000.0,3.175487465181064,5048137949.0,6710000.0,3.4540389972144823,5138112001.0
20060210655,23131800.0,23140000.0,3.0,21036363.0,87.745,1.0,21057000.0,3.2532713915298075,5048137949.0,21150000.0,3.655172860847017,5138112001.0
20060210675,17219800.0,17330000.0,3.0,15754545.0,87.745,1.0,15780000.0,3.3109723023658404,5048137949.0,15810000.0,3.4840825158684225,5138135697.0
20060210683,23085050.0,23140000.0,3.0,21036363.0,87.745,1.0,20825200.0,2.2515427830596337,5138135697.0,20840000.0,2.315501296456347,5048137949.0
20060210693,14451650.0,14450000.0,3.0,13136363.0,87.745,1.0,13005300.0,2.257076124567476,5138135697.0,13028000.0,2.414169550173014,5048137949.0
20060104483,19407525.0,19600000.0,4.0,17818181.0,87.745,1.0,17836000.0,3.2549999999999955,5048162244.0,17860000.0,3.3774489795918328,5038141886.0
20060104487,24830175.0,25100000.0,4.0,22818181.0,87.745,1.0,23092000.0,4.2549999999999955,5158126646.0,23150000.0,4.486075697211149,5038141886.0
20060104489,15846475.0,15800000.0,4.0,14363636.0,87.745,1.0,14663000.0,5.0587974683544275,5038141886.0,14694000.0,5.2549999999999955,5158126646.0
20060104496,19886450.0,20000000.0,4.0,18181818.0,87.745,1.0,18100000.0,2.7549999999999955,5038141886.0,18400000.0,4.2549999999999955,5158112860.0
20060104498,25654450.0,25600000.0,4.0,23272727.0,87.745,1.0,23552000.0,4.2549999999999955,5038141886.0,23680000.0,4.7549999999999955,5158126646.0
20060104928,15060100.0,15092000.0,4.0,13720000.0,87.745,1.0,13612000.0,2.4484799893983507,5038141886.0,13884000.0,4.250759342698103,5158126646.0
20060104941,12757325.0,12826000.0,4.0,11660000.0,87.745,1.0,11790000.0,4.1776571027600085,5048162244.0,11799000.0,4.24782707001404,5158126646.0
